order_id,customer_id,restaurant_id,dish_ordered,order_time,delivery_time,order_status,price,quantity,delivery_address,expected_delivery_time,delivery_partner_id
32,197,94,Pav Bhaji,18-05-2024 01:55,18-05-2024 02:44,Successful,490.95,2,"64, Chhabra Street, Mira-Bhayandar 950834",18-05-2024 02:19,493
33,188,285,Aloo Paratha,26-04-2024 18:33,26-04-2024 19:24,Successful,373.47,1,"H.No. 356
Hari Path
Kadapa-478183",26-04-2024 19:00,493
34,405,281,Dosa,17-07-2024 15:50,17-07-2024 16:51,Successful,548.68,2,"04
Chawla Zila, Akola-565709",17-07-2024 16:24,490
35,211,232,Butter Chicken,06-08-2024 09:58,06-08-2024 11:25,Successful,663.15,3,"H.No. 374
Wason Zila
Guntur-619097",06-08-2024 10:38,430
36,294,294,Dal Makhani,04-02-2024 05:54,04-02-2024 07:22,Successful,986.05,4,"H.No. 121, Yadav Path
Raurkela Industrial Township-568889",04-02-2024 06:32,104
37,11,231,Dal Makhani,01-09-2024 03:34,01-09-2024 04:26,Successful,189.54,3,"H.No. 76
Gade Nagar
Sambalpur-911497",01-09-2024 04:07,480
38,95,234,Chole Bhature,29-02-2024 17:57,29-02-2024 19:42,Successful,118.06,4,"22
Khare
Rajkot-868342",29-02-2024 18:19,231
39,429,141,Biryani,08-04-2024 11:23,08-04-2024 12:19,Successful,915.81,3,"495, Dhingra Street
Junagadh 975485",08-04-2024 11:53,471
40,67,35,Paneer Tikka,29-02-2024 13:14,29-02-2024 14:25,Successful,200.64,1,"81/50, Babu, Tadepalligudem-444929",29-02-2024 13:41,186
41,95,260,Butter Chicken,18-01-2024 13:08,18-01-2024 14:42,Successful,244.06,3,"28, Kapadia Circle, Nashik-310643",18-01-2024 13:44,146
42,279,112,Tandoori Chicken,06-04-2024 17:11,06-04-2024 18:52,Successful,349.54,4,"H.No. 89
Dube Circle
Sikar 145398",06-04-2024 17:37,70
43,85,143,Dal Makhani,19-06-2024 21:46,19-06-2024 22:44,Successful,176.32,2,"06, Seshadri Road
Kolkata 886368",19-06-2024 22:15,134
44,373,278,Tandoori Chicken,15-08-2024 13:04,15-08-2024 14:43,Successful,702.62,5,"725, Talwar Path, Jamalpur 040185",15-08-2024 13:37,172
45,403,117,Chole Bhature,17-05-2024 17:57,17-05-2024 18:30,Successful,326.15,2,"378, Kadakia Marg
Madhyamgram-439100",17-05-2024 18:17,3
46,362,54,Biryani,10-02-2024 21:07,10-02-2024 21:41,Successful,993.59,2,"861
Ganguly Path, Davanagere-015777",10-02-2024 21:37,473
47,289,285,Paneer Tikka,02-07-2024 18:25,02-07-2024 19:54,Successful,364.32,1,"92/450, Lala, Mangalore 949504",02-07-2024 19:00,130
48,384,20,Pav Bhaji,01-06-2024 00:49,01-06-2024 01:20,Successful,725.64,3,"83, Vig Street
Lucknow 458174",01-06-2024 01:20,44
49,416,250,Aloo Paratha,18-08-2024 23:42,19-08-2024 00:07,Successful,761.35,5,"74
Kari Road, Amravati-362444",19-08-2024 00:05,145
50,447,197,Aloo Paratha,18-07-2024 02:34,18-07-2024 04:22,Successful,145.38,2,"H.No. 27, Dixit Zila, Deoghar 045770",18-07-2024 02:57,499
51,270,27,Dal Makhani,01-08-2024 18:17,01-08-2024 20:04,Successful,481.98,2,"H.No. 31
Goel Nagar
Thrissur-809681",01-08-2024 18:52,39
52,129,156,Paneer Tikka,01-08-2024 07:55,01-08-2024 09:07,Successful,644.4,1,"H.No. 006
Dhawan Circle, Vasai-Virar-603520",01-08-2024 08:25,472
53,210,21,Samosa,09-03-2024 22:02,09-03-2024 23:12,Successful,785.96,1,"97/18
Sahni Nagar, Saharanpur 676791",09-03-2024 22:26,380
54,332,90,Paneer Tikka,23-02-2024 06:31,23-02-2024 07:19,Successful,445.02,4,"39
Dave, Gudivada-125789",23-02-2024 06:53,393
55,462,178,Butter Chicken,15-01-2024 08:08,15-01-2024 08:51,Successful,859.4,4,"H.No. 15, Sangha Path
Tumkur-846599",15-01-2024 08:47,429
56,319,58,Chole Bhature,20-08-2024 12:16,20-08-2024 13:37,Successful,422.59,1,"H.No. 98, Barman, Jodhpur-528537",20-08-2024 12:39,114
57,76,300,Paneer Tikka,18-05-2024 13:03,18-05-2024 13:35,Successful,130.66,3,"95
Trivedi Chowk
Haldia-460864",18-05-2024 13:27,62
58,394,220,Samosa,26-01-2024 02:11,26-01-2024 03:43,Successful,171.02,1,"49, Mand Marg, Agra-877766",26-01-2024 02:50,44
59,164,283,Pav Bhaji,23-01-2024 22:59,23-01-2024 23:58,Successful,210.85,5,"85
Rana Street, Anand-162288",23-01-2024 23:39,351
60,443,113,Paneer Tikka,14-03-2024 13:19,14-03-2024 14:19,Successful,774.56,4,"584, Jani Chowk
Tezpur-990382",14-03-2024 13:51,430
61,252,75,Dal Makhani,27-07-2024 22:10,27-07-2024 23:44,Successful,455.02,1,"95/99, Mallick Zila, Thoothukudi 206560",27-07-2024 22:39,58
62,112,281,Pav Bhaji,05-03-2024 23:50,06-03-2024 01:31,Successful,823.32,1,"H.No. 56
Singh Marg, New Delhi 160326",06-03-2024 00:26,34
63,243,17,Tandoori Chicken,11-08-2024 19:13,11-08-2024 19:36,Cancelled,890.32,4,"29/176
Mani, Erode 466836",11-08-2024 19:50,174
64,451,110,Paneer Tikka,01-08-2024 18:30,01-08-2024 19:39,Successful,435.93,3,"H.No. 09
Sathe Circle
Ongole 865764",01-08-2024 18:56,21
65,462,147,Tandoori Chicken,04-04-2024 05:52,04-04-2024 06:48,Cancelled,479.65,1,"63/99, Gulati Zila, Korba 694819",04-04-2024 06:26,318
66,107,201,Paneer Tikka,12-03-2024 06:10,12-03-2024 06:48,Successful,265.83,1,"60/35, Gala Road, Bhagalpur 106464",12-03-2024 06:35,497
67,118,107,Aloo Paratha,23-04-2024 02:43,23-04-2024 04:10,Cancelled,360.87,3,"H.No. 88, Thakur Path, Kota 516683",23-04-2024 03:05,397
68,399,289,Pav Bhaji,04-04-2024 10:49,04-04-2024 12:42,Successful,309.62,5,"31/76, Arya Circle
Kharagpur 076589",04-04-2024 11:20,103
69,129,121,Pav Bhaji,18-05-2024 14:16,18-05-2024 16:00,Successful,347.87,3,"H.No. 913
Grover Nagar
Sri Ganganagar-626236",18-05-2024 14:38,490
70,151,134,Aloo Paratha,06-07-2024 10:25,06-07-2024 11:38,Successful,106.26,1,"76, Goel Chowk
Nangloi Jat-234448",06-07-2024 11:03,96
71,215,258,Aloo Paratha,20-01-2024 17:40,20-01-2024 18:39,Successful,257.57,5,"H.No. 062, Dugal
Berhampore 898633",20-01-2024 18:13,397
72,402,18,Paneer Tikka,20-04-2024 17:05,20-04-2024 18:05,Successful,147.82,3,"37/92, Karan Nagar
Miryalaguda 415274",20-04-2024 17:37,286
73,279,228,Butter Chicken,22-06-2024 20:52,22-06-2024 21:50,Successful,666.47,1,"H.No. 07, Dara Marg
Anantapur-760953",22-06-2024 21:14,187
74,156,91,Chole Bhature,17-07-2024 16:18,17-07-2024 18:10,Successful,917.61,3,"H.No. 87, Rajan Nagar
Pune 644457",17-07-2024 16:41,415
75,350,45,Aloo Paratha,24-08-2024 18:22,24-08-2024 18:45,Successful,243.01,1,"46, Ganguly Nagar, Madurai 304373",24-08-2024 18:54,483
76,221,134,Tandoori Chicken,27-06-2024 18:49,27-06-2024 20:36,Successful,712.45,2,"006, Bahri Road, Guwahati-623159",27-06-2024 19:23,265
77,459,43,Paneer Tikka,26-02-2024 04:22,26-02-2024 05:13,Successful,456.23,5,"H.No. 986, Jhaveri Nagar, Bulandshahr-700212",26-02-2024 05:01,351
78,372,152,Pav Bhaji,08-03-2024 01:34,08-03-2024 03:22,Successful,367.01,4,"66/64, Trivedi Nagar
Sirsa 509583",08-03-2024 02:13,147
79,125,49,Biryani,17-02-2024 16:43,17-02-2024 17:26,Successful,820.48,1,"73
Chakraborty Zila, Naihati-795721",17-02-2024 17:21,112
80,258,233,Aloo Paratha,19-02-2024 03:58,19-02-2024 05:02,Successful,315.45,3,"192
Wable Circle, Alwar-348499",19-02-2024 04:35,93
81,485,176,Biryani,04-05-2024 20:46,04-05-2024 21:33,Successful,563.07,3,"H.No. 42
Bakshi Nagar, Gandhinagar 236513",04-05-2024 21:11,401
82,129,227,Chole Bhature,30-08-2024 04:05,30-08-2024 05:09,Successful,865.04,2,"H.No. 574
Savant, Bokaro-971373",30-08-2024 04:41,279
83,194,247,Dal Makhani,24-03-2024 22:04,24-03-2024 23:10,Successful,688.87,4,"97
Dara
Hapur-839580",24-03-2024 22:44,445
84,379,182,Dal Makhani,26-03-2024 23:33,27-03-2024 01:23,Successful,982.51,2,"35/36
Ghose Street
Ujjain-877688",27-03-2024 00:06,150
85,381,298,Aloo Paratha,12-06-2024 13:45,12-06-2024 14:45,Successful,574.05,5,"19/687
Chaudhari Ganj
Belgaum-666998",12-06-2024 14:10,190
86,225,276,Dosa,14-01-2024 06:59,14-01-2024 08:43,Successful,622.86,4,"80/61
Rama Zila, Kakinada 091861",14-01-2024 07:35,476
87,474,100,Pav Bhaji,22-03-2024 15:16,22-03-2024 16:39,Successful,279.56,5,"073
Talwar Ganj
Panipat-188523",22-03-2024 15:51,248
88,78,254,Aloo Paratha,09-01-2024 07:32,09-01-2024 09:01,Successful,424.88,2,"10, Bal Ganj
Phusro-992524",09-01-2024 07:59,152
89,112,103,Dosa,04-08-2024 09:03,04-08-2024 10:01,Successful,549.72,3,"H.No. 81
Kota Chowk, Allahabad-244115",04-08-2024 09:35,243
90,472,277,Dal Makhani,25-08-2024 23:26,26-08-2024 01:24,Successful,758.33,4,"H.No. 696, Jha, Coimbatore 714865",25-08-2024 23:51,71
91,396,238,Tandoori Chicken,18-03-2024 09:03,18-03-2024 10:01,Successful,220.4,3,"630, Varughese Ganj, Noida-292489",18-03-2024 09:32,241
92,115,258,Dal Makhani,02-04-2024 05:33,02-04-2024 06:15,Successful,404.38,4,"24/051
Jayaraman Circle, Karnal-396275",02-04-2024 06:07,91
93,386,12,Aloo Paratha,01-09-2024 22:36,01-09-2024 23:12,Successful,879.17,3,"H.No. 291, Iyengar Road, Amroha 340951",01-09-2024 23:07,127
94,64,153,Pav Bhaji,10-07-2024 11:28,10-07-2024 12:00,Successful,269.36,3,"H.No. 07
Kapoor Road, Navi Mumbai 551830",10-07-2024 12:00,329
95,125,93,Tandoori Chicken,10-04-2024 03:45,10-04-2024 05:10,Successful,791.37,2,"03/123
Kibe Circle, Kurnool-967305",10-04-2024 04:10,328
96,225,7,Tandoori Chicken,15-01-2024 08:30,15-01-2024 09:09,Cancelled,536.37,3,"H.No. 79
Dewan, Sambalpur-569223",15-01-2024 08:51,179
97,436,242,Tandoori Chicken,02-09-2024 10:52,02-09-2024 11:33,Successful,966.3,2,"363, Bath Street, Phusro-225318",02-09-2024 11:12,218
98,390,212,Aloo Paratha,01-07-2024 03:22,01-07-2024 05:17,Successful,459.09,4,"H.No. 31, Samra
Shimoga-372245",01-07-2024 03:54,79
99,159,182,Samosa,08-08-2024 15:40,08-08-2024 17:24,Successful,643.29,5,"09/232, Anne Ganj, Medininagar-102621",08-08-2024 16:07,297
100,499,71,Biryani,23-08-2024 18:48,23-08-2024 19:40,Successful,913,1,"H.No. 300, Wason Road
Loni-370233",23-08-2024 19:15,403
101,3,189,Biryani,04-09-2024 20:24,04-09-2024 21:52,Successful,490.22,1,"93, Ratta Circle, Jamnagar 511039",04-09-2024 20:58,269
102,408,218,Dal Makhani,03-03-2024 11:01,03-03-2024 12:57,Successful,180.17,3,"910, Bhalla Road
Panvel-835920",03-03-2024 11:27,8
103,392,3,Paneer Tikka,09-02-2024 06:36,09-02-2024 07:27,Successful,584.44,2,"H.No. 571, Ramanathan Path, Alappuzha 053557",09-02-2024 07:05,77
104,2,89,Samosa,07-09-2024 02:13,07-09-2024 04:11,Successful,832.09,1,"996
Gera Road
Sonipat 820429",07-09-2024 02:38,400
105,355,56,Samosa,18-01-2024 15:50,18-01-2024 17:30,Successful,774.86,5,"H.No. 284, Kota Street, Delhi-162990",18-01-2024 16:11,183
106,47,175,Pav Bhaji,07-07-2024 05:39,07-07-2024 07:30,Successful,288.89,2,"H.No. 610, Gandhi Path
Bhopal 635971",07-07-2024 06:03,309
107,309,226,Biryani,22-04-2024 03:24,22-04-2024 04:00,Successful,508.25,2,"H.No. 63, Mahal Chowk, Tadipatri-721416",22-04-2024 03:54,218
108,126,283,Dosa,12-02-2024 08:26,12-02-2024 09:02,Successful,112.54,4,"H.No. 57, Bedi Chowk, Vellore 666371",12-02-2024 08:49,111
109,189,293,Biryani,25-07-2024 09:00,25-07-2024 10:57,Successful,311.32,5,"H.No. 10, Choudhury Road
Agartala-126075",25-07-2024 09:37,478
110,456,98,Dal Makhani,01-01-2024 07:42,01-01-2024 09:42,Successful,227.46,2,"29
Maharaj Street
Dehradun 943023",01-01-2024 08:13,492
111,236,105,Samosa,11-09-2024 00:19,11-09-2024 00:52,Successful,876.6,5,"65, Solanki Nagar, Dhanbad 649803",11-09-2024 00:58,363
112,416,87,Aloo Paratha,26-04-2024 09:03,26-04-2024 09:43,Cancelled,401.71,4,"H.No. 28
Bhagat Circle, Bhubaneswar 937303",26-04-2024 09:25,462
113,88,118,Dal Makhani,14-05-2024 00:39,14-05-2024 01:35,Successful,709.46,2,"H.No. 65
Tank Marg, Rampur-808036",14-05-2024 01:08,182
114,130,282,Dosa,09-03-2024 03:58,09-03-2024 04:36,Successful,502.39,5,"49, Boase Road, Meerut-519863",09-03-2024 04:27,284
115,466,73,Butter Chicken,24-01-2024 03:55,24-01-2024 04:19,Successful,847.05,4,"484
Sarin Street
Thoothukudi-136664",24-01-2024 04:33,52
116,397,234,Pav Bhaji,01-01-2024 11:54,01-01-2024 13:24,Successful,468.38,3,"H.No. 311
Johal Ganj
Dharmavaram 533104",01-01-2024 12:24,131
117,36,44,Aloo Paratha,03-03-2024 00:01,03-03-2024 01:41,Successful,656.31,3,"H.No. 827, Sarkar Nagar
Bijapur 175741",03-03-2024 00:32,428
118,315,52,Tandoori Chicken,17-02-2024 06:26,17-02-2024 06:55,Cancelled,835.06,1,"721
Sarma, Bihar Sharif 101345",17-02-2024 06:48,309
119,210,55,Chole Bhature,09-07-2024 16:27,09-07-2024 17:17,Cancelled,408.43,5,"078
Reddy
Baranagar 622060",09-07-2024 16:52,83
120,488,51,Dosa,16-04-2024 18:10,16-04-2024 19:45,Successful,557.12,4,"57/00
Setty Zila, Hospet 236242",16-04-2024 18:50,332
121,234,109,Aloo Paratha,27-05-2024 10:55,27-05-2024 11:34,Cancelled,638.61,5,"96, Bhargava Nagar
Haridwar 641671",27-05-2024 11:16,152
122,127,128,Biryani,19-04-2024 23:34,20-04-2024 01:02,Successful,282,1,"H.No. 818, Gera Chowk, Davanagere-249852",20-04-2024 00:08,120
123,226,160,Tandoori Chicken,04-04-2024 05:58,04-04-2024 06:48,Successful,884.48,4,"H.No. 35, Jha Road
Serampore 342793",04-04-2024 06:26,231
124,477,293,Samosa,08-03-2024 02:23,08-03-2024 03:01,Successful,347.09,2,"85/136
Wason
Panihati 035303",08-03-2024 02:50,79
125,362,51,Chole Bhature,27-08-2024 02:42,27-08-2024 03:06,Successful,524.93,5,"955
Sachdev Road, Durg 863963",27-08-2024 03:06,404
126,273,12,Biryani,03-09-2024 16:20,03-09-2024 18:06,Successful,837.03,3,"H.No. 264, Sarraf Circle
Bidhannagar 222465",03-09-2024 16:46,173
127,47,244,Pav Bhaji,13-08-2024 08:45,13-08-2024 09:22,Cancelled,862.88,2,"39
Halder Marg
Berhampore-737774",13-08-2024 09:23,482
128,44,261,Chole Bhature,10-01-2024 07:43,10-01-2024 09:08,Successful,189.74,1,"71/30
Sharma Road
Kanpur-102274",10-01-2024 08:17,431
129,63,195,Dosa,22-03-2024 21:40,22-03-2024 22:46,Successful,444.87,2,"33
Kannan Nagar
Tirunelveli 364651",22-03-2024 22:18,10
130,285,148,Samosa,30-05-2024 14:22,30-05-2024 15:01,Successful,730.06,3,"52/690
Chaudry Ganj
Pondicherry-256176",30-05-2024 14:59,85
131,448,248,Samosa,21-04-2024 15:55,21-04-2024 16:29,Successful,453.87,1,"241
Sen Circle, Kulti 657119",21-04-2024 16:18,441
132,181,103,Butter Chicken,20-07-2024 20:55,20-07-2024 21:48,Successful,377.11,1,"H.No. 85, Srinivasan, Tumkur 154624",20-07-2024 21:33,191
133,449,13,Dal Makhani,27-02-2024 12:19,27-02-2024 13:47,Successful,180.92,4,"063, Issac, Faridabad-798434",27-02-2024 12:57,101
134,85,266,Chole Bhature,08-05-2024 03:39,08-05-2024 04:21,Successful,597.64,3,"H.No. 505
Char Street, Bhilwara 419721",08-05-2024 04:11,112
135,491,5,Butter Chicken,30-06-2024 02:30,30-06-2024 03:23,Successful,100.74,4,"02/87, D’Alia Marg, Mango 963379",30-06-2024 03:06,110
136,292,248,Butter Chicken,18-05-2024 04:36,18-05-2024 05:26,Successful,518.85,2,"H.No. 97
Kar Zila, North Dumdum-685723",18-05-2024 04:57,8
137,354,295,Butter Chicken,09-07-2024 16:06,09-07-2024 16:56,Successful,618.6,2,"H.No. 40, Sagar Road
Dehradun-420104",09-07-2024 16:26,463
138,126,244,Chole Bhature,19-01-2024 16:49,19-01-2024 17:09,Successful,669.45,3,"H.No. 20, Ratta Path, Tezpur 492630",19-01-2024 17:09,345
139,395,159,Pav Bhaji,07-06-2024 05:42,07-06-2024 06:25,Successful,436.73,4,"629
Kulkarni Ganj
Nagercoil-368429",07-06-2024 06:20,397
140,304,73,Dosa,07-04-2024 00:50,07-04-2024 02:17,Successful,127.84,4,"79/49, Setty Zila, Shahjahanpur 123231",07-04-2024 01:25,388
141,79,8,Dosa,18-03-2024 02:28,18-03-2024 03:43,Successful,409.8,5,"H.No. 304, Swamy Road, Indore 861466",18-03-2024 03:01,163
142,241,166,Biryani,15-07-2024 07:42,15-07-2024 09:35,Successful,874.22,4,"58/30, Bir Street
Khandwa-594739",15-07-2024 08:15,197
143,309,135,Butter Chicken,07-02-2024 01:47,07-02-2024 02:43,Successful,459.12,1,"34/55
Dara Street, Mau-784651",07-02-2024 02:13,8
144,428,198,Tandoori Chicken,10-05-2024 14:31,10-05-2024 16:16,Successful,696.46,2,"52/39
Tella Ganj, Phusro 819326",10-05-2024 15:10,231
145,325,74,Aloo Paratha,20-06-2024 06:26,20-06-2024 07:49,Successful,987.43,3,"89
Khatri, Phagwara-831560",20-06-2024 06:50,469
146,255,39,Butter Chicken,21-04-2024 21:37,21-04-2024 22:35,Successful,254.01,3,"08, Sankar Street, Aligarh-998994",21-04-2024 22:09,112
147,271,127,Butter Chicken,30-05-2024 10:47,30-05-2024 11:07,Successful,222.9,1,"H.No. 575, Majumdar Chowk, Tumkur-713342",30-05-2024 11:19,418
148,86,62,Butter Chicken,29-03-2024 01:56,29-03-2024 03:06,Successful,128.51,1,"90/41, Varma Chowk, Malegaon-051826",29-03-2024 02:18,453
149,197,64,Tandoori Chicken,05-04-2024 00:50,05-04-2024 01:53,Successful,377.85,5,"50/63, Bala Ganj, Bettiah 907620",05-04-2024 01:15,26
150,303,201,Pav Bhaji,19-02-2024 09:14,19-02-2024 11:13,Successful,617.48,3,"76/757
Ratta Ganj
Pimpri-Chinchwad 306739",19-02-2024 09:46,483
151,178,140,Pav Bhaji,29-02-2024 07:13,29-02-2024 08:05,Successful,254.09,1,"H.No. 774
Suri Chowk
Hindupur 747388",29-02-2024 07:36,137
152,125,79,Tandoori Chicken,09-02-2024 14:20,09-02-2024 14:50,Successful,624.98,1,"89/521, Balay Road, Madurai 512971",09-02-2024 14:56,17
153,36,276,Chole Bhature,18-04-2024 03:39,18-04-2024 05:05,Successful,648.98,5,"H.No. 660
Roy Path
Aurangabad-386505",18-04-2024 04:02,55
154,330,131,Dal Makhani,18-05-2024 06:16,18-05-2024 06:42,Successful,316.56,3,"63/501
Hari Marg
Raebareli 040962",18-05-2024 06:53,316
155,74,21,Dal Makhani,07-07-2024 09:28,07-07-2024 10:34,Successful,571.78,2,"32/831
Krishnan Marg, Nandyal-648818",07-07-2024 09:54,166
156,335,208,Biryani,11-05-2024 07:17,11-05-2024 07:55,Successful,247.06,2,"13/19
Sibal
Tumkur 199925",11-05-2024 07:53,264
157,241,49,Dal Makhani,08-06-2024 20:03,08-06-2024 20:24,Successful,547.59,4,"H.No. 27, Chaudhry Marg
Mehsana-646102",08-06-2024 20:42,407
158,452,80,Paneer Tikka,29-03-2024 03:53,29-03-2024 04:44,Successful,266.79,2,"87, Iyengar Circle, Nellore 855331",29-03-2024 04:20,369
159,401,290,Aloo Paratha,02-07-2024 23:25,03-07-2024 00:56,Successful,268.45,2,"140, Hans Nagar, Jhansi-904333",02-07-2024 23:54,101
160,267,86,Butter Chicken,23-06-2024 02:36,23-06-2024 04:32,Successful,721.4,2,"133
Bala Nagar, Ambarnath-650582",23-06-2024 03:15,96
161,261,228,Dal Makhani,16-06-2024 09:07,16-06-2024 11:07,Successful,130.12,2,"H.No. 133, Subramaniam Circle, Bongaigaon 950331",16-06-2024 09:41,62
162,132,297,Samosa,07-05-2024 01:54,07-05-2024 03:43,Successful,831.75,4,"H.No. 71, Goda Zila, Bhind 932155",07-05-2024 02:17,196
163,46,174,Chole Bhature,27-05-2024 12:43,27-05-2024 14:23,Successful,270.74,2,"21/003, Sha Street
Guna 244911",27-05-2024 13:20,144
164,297,71,Samosa,12-09-2024 14:00,12-09-2024 15:47,Successful,620.02,3,"53
Choudhary Nagar
Ajmer 081830",12-09-2024 14:21,82
165,210,286,Chole Bhature,13-06-2024 16:14,13-06-2024 16:37,Successful,964.26,5,"08/14
Balan Marg
Muzaffarnagar-452482",13-06-2024 16:50,36
166,157,133,Paneer Tikka,04-04-2024 05:13,04-04-2024 07:13,Successful,729.71,1,"982, Sabharwal Nagar, Udaipur 966087",04-04-2024 05:39,409
167,284,45,Dosa,16-01-2024 11:53,16-01-2024 13:45,Successful,193.1,3,"45/436
Lanka Path
Aligarh-286563",16-01-2024 12:14,71
168,225,198,Paneer Tikka,09-08-2024 14:49,09-08-2024 15:38,Successful,537.59,4,"31/428, Shankar Circle
Kakinada 304927",09-08-2024 15:25,207
169,348,136,Tandoori Chicken,08-09-2024 21:34,08-09-2024 23:12,Successful,978.03,3,"44
Handa Road
Ghaziabad 253551",08-09-2024 22:11,299
170,170,23,Dal Makhani,30-08-2024 23:46,31-08-2024 01:45,Successful,619.94,5,"621, Andra Path
Chittoor-854711",31-08-2024 00:23,56
171,463,62,Chole Bhature,29-05-2024 10:14,29-05-2024 10:45,Successful,865.14,5,"21/77
Varty Ganj, Darbhanga-163926",29-05-2024 10:37,204
